"Tipo de contacto","Fecha hora contacto","Coorde.nadaX","coorden.adaY"
"Recogida",2010-04-19,455049,3098250
"Captura",2010-04-19,455049,3098250
"Recogida",2010-04-20,455096,3098225
"Captura",2010-04-20,455102,3098262
"Captura",2010-04-20,455122,3098153
"Captura",2010-04-20,454816,3098380
"Recogida",2010-04-21,432546.01,3111086
"Recogida",2010-04-21,432546.01,3111086
"Recogida",2010-04-22,432549,3110999.01
"Recogida",2010-04-22,455041,3098286
"Recogida",2010-04-22,455248,3098177
"Recogida",2010-04-22,454854,3097843
"Recogida",2010-04-22,454841,3097838.01
"Recogida",2010-04-23,459420,3087367
"Recogida",2010-04-22,455129,3098157
"Recogida",2010-04-23,455130,3098288
"Recogida",2010-04-24,453499,3099924
"Recogida",2010-04-26,454693,3098268
"Captura",2010-04-26,455448.01,3098249
"Recogida",2010-04-27,454963,3098016
"Captura",2010-04-27,454696,3098264
"Captura",2010-04-27,454696,3098264
"Captura",2010-04-28,455048,3098128
"Captura",2010-04-28,454770,3098289
"Captura",2010-04-28,454776,3098261.01
"Captura",2010-04-28,454776,3098261.01
"Recogida",2010-04-28,454919,3097994
"Recogida",2010-04-28,455032,3098303
"Recogida",2010-04-28,459535,3087435
"Recogida",2010-04-28,455098,3098275.01
"Recogida",2010-04-28,455132,3098297
"Captura",2010-04-29,454237,3098138
"Recogida",2010-04-30,434532,3112433
"Recogida",2010-04-30,455095,3098271
"Recogida",2010-04-30,455111,3098278
"Captura",2010-05-01,455303,3098427
"Recogida",2010-06-02,455478,3098254
"Recogida",2010-05-03,455082,3098163
"Recogida",2010-05-03,454977,3098324
"Recogida",2010-05-03,454977,3098324
"Captura",2010-05-03,455452,3098252.01
"Recogida",2010-05-03,455457,3098269
"Recogida",2010-05-04,455472,3098262
"Recogida",2010-04-04,455112,3098272
"Recogida",2010-05-06,454784,3098297
"Recogida",2010-05-07,455118,3098263
"Captura",2010-05-07,455313,3098377.01
"Captura",2010-05-07,455315,3098324
"Recogida",2010-05-07,455455,3098253
"Captura",2010-03-07,454761,3098244
"Captura",2010-05-07,454836,3098275
"Recogida",2010-05-11,455123,3098275
"Captura",2010-05-11,454993,3098061
"Captura",2010-05-11,455125,3098162
"Captura",2010-05-11,455439,3098167
"Recogida",2010-05-13,455471,3098359
"Captura",2010-05-13,455412,3098394
"Captura",2010-05-14,454692,3097959
"Captura",2010-05-18,455437,3098375
"Recogida",2010-05-18,434776.01,3112431
"Recogida",2010-05-21,454797,3097805
"Recogida",2010-05-21,455347,3098393
"Recogida",2010-05-23,454548,3098315
"Recogida",2010-05-24,455052,3098275
"Recogida",2010-05-24,455468,3098280
"Recogida",2010-05-24,455434,3098260
"Recogida",2010-05-24,455453,3098248
"Recogida",2010-05-24,455489,3098256
"Captura",2010-05-24,455191,3098267
"Captura",2010-05-24,455156,3098207
"Captura",2010-05-25,455002,3098083
"Captura",2010-05-25,454740,3098318
"Recogida",2010-05-26,455461,3098254
"Recogida",2010-05-26,453411,3097953
"Recogida",2010-05-26,455487.01,3098243
"Recogida",2010-05-27,455100,3098274
"Recogida",2010-05-27,455339,3098387
"Recogida",2010-05-27,455299,3098431
"Captura",2010-05-28,454737,3097777
"Recogida",2010-05-28,454859,3098403
"Recogida",2010-05-28,454841,3098407
"Captura",2010-05-30,455467,3098170
"Captura",2010-05-30,455404,3098398
"Captura",2010-06-01,454694,3098395
"Recogida",2010-06-01,433760,3110569
"Recogida",2010-06-01,454054,3098388
"Recogida",2010-06-02,455082,3098182
"Captura",2010-06-02,454760,3098309
"Captura",2010-06-02,454727,3098384
"Captura",2010-06-04,455455,3098253
"Recogida",2010-06-06,455128,3098288
"Recogida",2010-06-06,455124,3098263
"Captura",2010-06-07,455443,3098258
"Captura",2010-06-08,454745,3098246
"Recogida",2010-06-08,454739,3098315.01
"Captura",2010-06-09,454743,3098231
"Recogida",2010-06-10,453875,3096719
"Captura",2010-06-13,454823,3097956
"Captura",2010-06-14,455212,3098391
"Captura",2010-06-14,454768,3098249
"Captura",2010-06-18,454505,3098345
"Captura",2010-06-18,454896,3097930
"Captura",2010-06-22,454758,3098251
"Captura",2010-06-25,459137.01,3097664
"Recogida",2010-06-26,456012,3086054.01
"Recogida",2010-06-26,459137.01,3097664
"Captura",2010-06-26,454874,3097820
"Captura",2010-06-30,455432,3098250
"Captura",2010-07-01,454332,3098132
"Captura",2010-07-02,454742,3098350
"Captura",2010-07-02,454840,3097959
"Captura",2010-07-06,455467,3098169
"Recogida",2010-07-09,435782,3113453
"Recogida",2010-07-10,455009,3098089
"Captura",2010-07-12,455283,3098420
"Recogida",2010-07-12,455189,3098176.01
"Recogida",2010-07-13,451676,3100595
"Recogida",2010-07-13,454439,3098409
"Recogida",2010-07-13,455510,3098225
"Recogida",2010-07-14,456579,3106525.01
"Recogida",2010-07-14,454757,3098375
